make_model,make,location,price,body_type,type,doors,warranty,mileage,gearbox,fuel_type,paint,seller,seats,power,gears,co_emissions,drivetrain,full_service_history,non_smoker_vehicle,emission_class,upholstery,previous_owner,age,fuel_consumption_comb,entertainment_media_count,engine_size_cat,safety_security_category,extras_category,comfort_convenience_cat
Mercedes Benz A 180,Mercedes Benz,ES,29900,Compact,Used,5.0,Yes,68900.0,Automatic,Diesel,non-metallic,Dealer,5.0,85.0,7.0,103.0,Front,No,No,Euro 6,Leather,First Hand,3.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,BE,27999,Compact,Used,5.0,No,41272.0,Automatic,Benzin,non-metallic,Dealer,5.0,120.0,7.0,126.0,Front,No,No,Euro 6,Leather,First Hand,4.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,25600,Compact,Used,5.0,Yes,49600.0,Automatic,Diesel,non-metallic,Dealer,5.0,85.0,7.0,108.0,Front,No,No,Euro 6,Leather,First Hand,4.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,26850,Compact,Used,5.0,Yes,28330.0,Automatic,Benzin,Metallic,Dealer,5.0,100.0,7.0,121.0,Front,No,No,Euro 6,Leather,First Hand,2.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,BE,25990,Compact,Used,5.0,No,67626.0,Automatic,Benzin,Metallic,Dealer,5.0,100.0,7.0,121.0,Front,Yes,Yes,Euro 6,Cloth,First Hand,2.0,5.3,Upgrated,Low,Premium,standard,luxury
Mercedes Benz A 200,Mercedes Benz,ES,34995,Compact,Used,5.0,Yes,8828.0,Automatic,Diesel,non-metallic,Dealer,5.0,110.0,8.0,119.0,4WD,No,No,Euro 6,Leather,First Hand,2.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,27800,Compact,Used,5.0,Yes,61618.0,Automatic,Diesel,non-metallic,Dealer,5.0,80.0,7.0,108.0,Front,No,No,Euro 6,Leather,First Hand,4.0,5.2,Standart,Medium,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,BE,29999,Compact,Used,5.0,No,17115.0,Automatic,Benzin,non-metallic,Dealer,5.0,100.0,7.0,121.0,Front,No,No,Euro 6,Leather,First Hand,2.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,DE,38350,Compact,Demonstration,5.0,Yes,8000.0,Automatic,Benzin,Metallic,Dealer,5.0,120.0,7.0,138.0,Front,No,No,Euro 6,Other,First Hand,1.0,5.3,Upgrated,Low,Premium,luxury,luxury
Mercedes Benz A 200,Mercedes Benz,ES,23400,Compact,Used,5.0,Yes,87500.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,7.0,99.0,Front,No,No,Euro 6,Leather,Second Hand,6.0,4.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 150,Mercedes Benz,DE,7350,Compact,Used,5.0,Yes,61170.0,Automatic,Benzin,Metallic,Dealer,5.0,70.0,5.0,171.0,Front,Yes,Yes,Euro 4,Other,Second Hand,16.0,7.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,21450,Compact,Used,5.0,Yes,116715.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,7.0,109.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,4.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 220,Mercedes Benz,DE,43880,Compact,Demonstration,5.0,Yes,8000.0,Automatic,Diesel,Metallic,Dealer,5.0,140.0,8.0,133.0,Front,Yes,No,Euro 6,Leather,First Hand,1.0,4.4,Upgrated,Medium,Premium,luxury,luxury
Mercedes Benz A 200,Mercedes Benz,ES,23900,Compact,Used,5.0,Yes,98781.0,Automatic,Diesel,Metallic,Dealer,5.0,100.0,7.0,109.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,4.1,Standart,Medium,Basic,standard,standard
Mercedes Benz B 200,Mercedes Benz,DE,38880,Compact,Demonstration,5.0,Yes,22000.0,Automatic,Diesel,Metallic,Dealer,5.0,110.0,8.0,136.0,Front,Yes,No,Euro 6,Leather,First Hand,2.0,4.4,Upgrated,Medium,Premium,luxury,luxury
